userID,itemID,review,rating,user_num,item_num
1mGJs3m4GrZbGxOQaTxEsr,H8lpQHZ6ScY-h02Kiob-L5,"For the first time in a while, Sangmu sushi (*≧∇≦)ﾉㅎㅎ After the renewal, Sangmu has become much more delicious and high-quality. The staff is very friendly, and the plates have been changed to look pretty, so it is high-quality and good. It is always fresh, the portions are plentiful, and the soba and side dishes are all delicious☺️ This much for a low price. Sangmu sushi is the best, I'm happy to eat it and it's good to eat alone. I ate it gratefully today too.",3.5,0,0
oT0a6SESreIpABflRozkXy,H8lpQHZ6ScY-h02Kiob-L5,"I am a self-proclaimed, self-proclaimed, regular Jjin Sangmu sushi person who believes there is no better sushi. Even if you eat it often, you will never get tired of it and want to eat it again and again. Sangmu sushi with delicious rice is really delicious.",3.5,1,0
ZomlkpgJUmS8CydaG9FDDD,H8lpQHZ6ScY-h02Kiob-L5,"The lunch special menu is great value for money. The sushi is fresh, the buckwheat soba is delicious, and the aged noodles are really delicious. The sweet potato fries are also great.",3.5,2,0
PPwaxIAs1hGTf6_fDyY9rk,H8lpQHZ6ScY-h02Kiob-L5,I came here to eat sushi with my mom and aunt before going to a nearby sauna. The ingredients are fresh and delicious.,3.5,3,0
O445NOPOPI8jZktpvO0X7b,H8lpQHZ6ScY-h02Kiob-L5,"My appetite returned after eating sushi. The ingredients are fresh and there are a variety of sides, all of which are delicious. Above all, it was nice to be able to enjoy lunch even on the weekend. There was a bit of a wait on Saturday, but the turnover rate was good, so I was quickly shown a table. In Daejeon, where there are no good places to eat except bakeries (tofu duruchigi and kalguksu are the tastes of my personal memories, but not good for tourists), this is a restaurant like this. There was",3.5,4,0
VheS7ApRKObtqKu-wvxIyX,H8lpQHZ6ScY-h02Kiob-L5,"Sangmu Sushi Futomaki, curry udon, and Korean beef ball cutlet. Personally, the curry is good, but the rest is just so-so for me.. The Korean beef ball cutlet is delicious, but it is greasy, so soda is a must. Futomaki.. Cucumber haters were shocked by the visuals.. I am a very picky eater, so I left out all the cucumbers and sprouts. I ate it haha. There is eel in the middle, so the spines are a bit chewy and may be uncomfortable for those with sensitive skin. I was a little uncomfortable because of the thorns. The curry udon doesn't have a lot of udon noodles, but there's quite a bit of chicken on top, so it seems to be okay.",3.5,5,0
CZMU9UrjP5x5C-4F4wYlpW,H8lpQHZ6ScY-h02Kiob-L5,"It's been a while since I used Sangmu Sushi's Yuseong branch. What's different is that the Rakkyo, vinegared ginger, and pickled radish on the table have disappeared and it's served as a set meal instead of a course meal. It used to be better... but I still enjoy it. Please note that parking is very difficult.",3.5,6,0
__5jV0NlCkVj68xwpx7v_v,H8lpQHZ6ScY-h02Kiob-L5,"On days when I want sushi and don't feel like looking around, I always visit Sangmu Sushi. The sushi composition is good, and it's my first time ordering shrimp tempura udon. Not only is there a lot of broth, but it's also rich in tempura, crown crown, katsuobushi, egg, two types of fried tofu, fish cake, etc. I ate it so deliciously.",3.5,7,0
BRrPIqpQ3COzZoyVGXb-dd,H8lpQHZ6ScY-h02Kiob-L5,"I visited Sangmu Sushi restaurant for the first time, which is famous for sushi. Because it was the weekend, there was a lot of waiting, but due to the nature of the sushi restaurant, the turnover rate was so good that we were able to be seated within 30 minutes. As soon as you place your order, carefully prepared sushi is presented neatly lined up on a pretty plate, along with simple side dishes, filling your mouth. The natural freshness and lightness of the raw fish, the white rice cooked with your fingertips, and the taste of mustard on the tip of your nose are sweet and touching. Also, king gimbap contains raw fish, so it is delicious as a delicacy. I didn't usually enjoy sushi, but I found this restaurant for the first time in my life and became a sushi maniac. I really enjoyed it. When you visit, you can park for free for 2 hours. I am especially grateful to the lovely staff at the counter who responded with infinite kindness even when they were busy.",3.5,8,0
OxpKCn0ab5AOcXl9gr8byg,H8lpQHZ6ScY-h02Kiob-L5,"The menu I always enjoy eating with my children is the lunch set B. A variety of sushi as shown in the photo, soba for 10p. Fries and appetizers are plated and served all at once. Kids love it because they can try all of the representative Japanese menu items at a reasonable price. The size of the sashimi is thick and large, allowing you to experience the taste of true sushi.",3.5,9,0
QyG_JA-NLXzYSgeN5WFZ31,nCCO-lc2V_9Jz7KBW6ySM0,"The shabu menu includes chicken and pork cutlet, so it's good for kids.",3.9,10,1
zZOWnDWUWEX1yijAUNXshj,nCCO-lc2V_9Jz7KBW6ySM0,"The food is delicious and good, and the store is spacious and comfortable.",3.9,11,1
Il2btsSPXeT3YKK8OVTLko,nCCO-lc2V_9Jz7KBW6ySM0,"It's great to be able to eat shabu-shabu and enjoy the salva buffet, and all the salba food is so delicious. It's a great value. I'll go again next time.",3.9,12,1
km_AQQ3v8_am24rbiCS9ru,nCCO-lc2V_9Jz7KBW6ySM0,It's been a while since my family came out. The raw fish stew is really delicious. The other menu items are also delicious and fresh.,3.9,13,1
a_uTiGocKUMMrmH5nJTMgi,nCCO-lc2V_9Jz7KBW6ySM0,I really like the variety of food at the self-serve bar. It's really delicious here.,3.9,14,1
qyYFZm3IYFVFICbuCFpFy7,nCCO-lc2V_9Jz7KBW6ySM0,"It's much better than Tanbang. However, I feel like the shabu ingredients are too lacking. I think it would be better to add some rice noodles.",3.9,15,1
